"","track_id","date_released","favorites","listens","album_title","latitude","longitude","location","duration","genre_top","interest","song_title","acousticness","danceability","energy","instrumentalness","liveness","speechiness","tempo","valence","artist_name","release","artist_discovery","artist_familiarity","artist_hotttnesss","song_currency","song_hotttnesss"
"1",2,2009-01-05,4,6073,"AWOL - A Way Of Life",40.0583238,-74.4056612,"New Jersey",168,"Hip-Hop",4656,"Food",0.416675233,0.675893985,0.634476268,0.010628068,0.177646571,0.159310065,165.922,0.576660988,"AWOL","AWOL - A Way Of Life",0.388989865,0.38674,0.40637,0,0
"2",3,2009-01-05,4,6073,"AWOL - A Way Of Life",40.0583238,-74.4056612,"New Jersey",237,"Hip-Hop",1470,"Electric Ave",0.374407769,0.528643062,0.817461132,0.001851103,0.105879944,0.461818128,126.957,0.269240242,"AWOL","AWOL - A Way Of Life",0.388989865,0.38674,0.40637,0,0
"3",5,2009-01-05,4,6073,"AWOL - A Way Of Life",40.0583238,-74.4056612,"New Jersey",206,"Hip-Hop",1933,"This World",0.043566899,0.74556587,0.701469992,0.000696799,0.373143312,0.124595342,100.26,0.621661224,"AWOL","AWOL - A Way Of Life",0.388989865,0.38674,0.40637,0,0
"4",10,2008-02-06,4,47632,"Constant Hitmaker",,,"",161,"Pop",54881,"Freeway",0.951669965,0.658178654,0.924525162,0.965427015,0.115473884,0.032985219,111.562,0.963589892,"Kurt Vile","Constant Hitmaker",0.557339007,0.614272,0.798387,0.005157993,0.354516
"5",134,2009-01-05,4,6073,"AWOL - A Way Of Life",40.0583238,-74.4056612,"New Jersey",207,"Hip-Hop",1126,"Street Music",0.452217307,0.51323805,0.560409931,0.019442694,0.096566694,0.525519379,114.29,0.894072272,"AWOL","AWOL - A Way Of Life",0.388989865,0.38674,0.40637,0,0
"6",139,2009-01-16,1,1304,"Every Man For Himself",41.8239891,-71.4128343,"Providence, RI",296,"Folk",702,"CandyAss",0.106549525,0.260911173,0.607066864,0.83508699,0.223676271,0.030569276,196.961,0.16026709,"Alec K. Redfearn and the Eyesores","Every Man For Himself",0.388922859,0.330784,0.4063,0.00025,0.03855
"7",140,2007-05-22,1,1300,"The Blind Spot",41.8239891,-71.4128343,"Providence, RI",253,"Folk",1593,"Queen Of The Wires",0.376312498,0.734079023,0.265684773,0.669581124,0.085995122,0.039068226,107.952,0.609991273,"Alec K. Redfearn and the Eyesores","The Blind Spot",0.388922859,0.330784,0.4063,0,0
"8",141,2009-01-16,1,1304,"Every Man For Himself",41.8239891,-71.4128343,"Providence, RI",182,"Folk",839,"Ohio",0.96365688,0.435932998,0.075632147,0.345493491,0.105685869,0.026657849,33.477,0.163949934,"Alec K. Redfearn and the Eyesores","Every Man For Himself",0.388922859,0.330784,0.4063,0.000166667,0.03855
"9",142,2005-01-25,1,845,"The Quiet Room",41.8239891,-71.4128343,"Providence, RI",470,"Folk",1223,"Punjabi Watery Grave",0.662881125,0.379065477,0.82385578,0.910266184,0.088705255,0.079090355,147.781,0.092867632,"Alec K. Redfearn and the Eyesores","The Quiet Room",0.388922859,0.330784,0.4063,0.000125,0.03855
"10",144,2009-01-06,0,2014,"Amoebiasis",41.8239891,-71.4128343,"Providence, RI",82,"Jazz",1146,"Wire Up",0.909011429,0.443642591,0.641997168,0.9240917,0.267669451,0.089658913,128.537,0.788250782,"Amoebic Ensemble","Amoebiasis",0.252380591,0.238153,0.263657,6.25e-05,0.0385
"11",145,2009-01-06,0,2014,"Amoebiasis",41.8239891,-71.4128343,"Providence, RI",326,"Jazz",968,"Amoebiasis",0.235506187,0.438671692,0.487751988,0.71612184,0.070359308,0.047297772,120.79,0.650451689,"Amoebic Ensemble","Amoebiasis",0.252380591,0.238153,0.263657,0,0
"12",146,1995-01-01,1,1446,"Limbic Rage",41.8239891,-71.4128343,"Providence, RI",354,"Jazz",855,"Gimme a Buck or I'll Touch You / Boilermaker",0.532019493,0.417680921,0.476422498,0.402500406,0.172104669,0.035360722,135.468,0.682397181,"Amoebic Ensemble","Limbic Rage",0.252380591,0.238153,0.263657,0.00025,0.0385
"13",147,1995-01-01,1,1446,"Limbic Rage",41.8239891,-71.4128343,"Providence, RI",232,"Jazz",930,"Repetitive Motion Sickness",0.778409916,0.706681063,0.866116014,0.806702599,0.104649817,0.065083465,120.218,0.917612908,"Amoebic Ensemble","Limbic Rage",0.252380591,0.238153,0.263657,0,0
"14",153,2005-06-07,0,628,"Arc and Sender",39.952335,-75.163789,"Philadelphia, PA",405,"Rock",354,"Hundred-Year Flood",0.98830555,0.2556609,0.979773793,0.973005724,0.121342,0.051739762,90.241,0.034017867,"Arc and Sender","Arc and Sender",0.262716769,0.173315,0.274455,0.00025,0.0443
"15",154,2005-06-07,0,628,"Arc and Sender",39.952335,-75.163789,"Philadelphia, PA",319,"Rock",242,"Squares And Circles",0.970134887,0.352946131,0.023851562,0.957112885,0.113260721,0.032176764,53.758,0.035631561,"Arc and Sender","Arc and Sender",0.262716769,0.173315,0.274455,5e-04,0.070213
"16",155,2009-01-06,0,197,"unreleased demo",39.952335,-75.163789,"Philadelphia, PA",756,"Rock",268,"Maps of the Stars Homes",0.981657344,0.142249248,0.912122086,0.967293978,0.363509516,0.087526988,91.912,0.034325256,"Arc and Sender","unreleased demo",0.262716769,0.173315,0.274455,0,0
"17",169,2008-06-23,0,716,"Boss of Goth",45.5234515,-122.6762071,"Portland, OR",144,"Rock",815,"Boss of Goth",0.989141175,0.225977528,0.722834853,0.263076279,0.092370532,0.053406352,94.322,0.028347208,"Argumentix","Boss of Goth",0.27567193,0.162622,0.287989,0.00025,0.039431
"18",170,2007-01-01,0,193,"Nightmarcher",45.5234515,-122.6762071,"Portland, OR",181,"Rock",468,"Industry Standard Massacre",0.88665971,0.298518303,0.744332563,0.92095049,0.139587018,0.088781041,97.88,0.073547547,"Argumentix","Nightmarcher",0.27567193,0.162622,0.287989,0,0
"19",171,2009-01-06,0,346,"Victim of Your Life",45.5234515,-122.6762071,"Portland, OR",80,"Rock",582,"Marching as Technitions",0.698277761,0.285815646,0.213493734,0.9556913,0.087035928,0.064093819,125.645,0.150599136,"Argumentix","Victim of Your Life",0.27567193,0.162622,0.287989,0.00025,0.039431
"20",172,2009-01-06,0,90,"Heir to the Power Bear Fortune",45.5234515,-122.6762071,"Portland, OR",206,"Rock",468,"I Can't Stand You Up-right",0.815548904,0.144125071,0.892721187,0.900430124,0.104703467,0.102293658,138.68,0.034916419,"Argumentix","Heir to the Power Bear Fortune",0.27567193,0.162622,0.287989,0.00025,0.039431
"21",173,2008-06-23,0,716,"Boss of Goth",45.5234515,-122.6762071,"Portland, OR",218,"Rock",475,"Save Life's Golden Receipt In Case Refund Needed",0.842112888,0.285293229,0.564688697,0.951624346,0.110481378,0.040610547,166.552,0.254299214,"Argumentix","Boss of Goth",0.27567193,0.162622,0.287989,5e-04,0.062497
"22",174,2008-06-23,0,716,"Boss of Goth",45.5234515,-122.6762071,"Portland, OR",199,"Rock",405,"Senator's Stance",0.367392646,0.339698071,0.846639439,0.909186179,0.19894398,0.462607473,70.887,0.048242733,"Argumentix","Boss of Goth",0.27567193,0.162622,0.287989,5e-04,0.062497
"23",175,2007-01-01,0,193,"Nightmarcher",45.5234515,-122.6762071,"Portland, OR",111,"Rock",365,"Snapped Today",0.993927617,0.310089977,0.95249313,0.274311479,0.354230519,0.825743907,69.413,0.033402312,"Argumentix","Nightmarcher",0.27567193,0.162622,0.287989,0,0
"24",176,2009-01-06,0,346,"Victim of Your Life",45.5234515,-122.6762071,"Portland, OR",160,"Rock",461,"Step Up to Legends",0.833516014,0.206509279,0.779140487,0.940841086,0.372311399,0.077227145,123.583,0.028143816,"Argumentix","Victim of Your Life",0.27567193,0.162622,0.287989,0.00025,0.039431
"25",177,2008-06-23,0,716,"Boss of Goth",45.5234515,-122.6762071,"Portland, OR",129,"Rock",529,"Petty Hate Machine",0.754275299,0.209112907,0.579959277,0.736865435,0.112164893,0.073350202,95.932,0.083330261,"Argumentix","Boss of Goth",0.27567193,0.162622,0.287989,5e-04,0.062497
"26",178,2009-01-06,0,149,"Tarantula Downpour 7""",45.5234515,-122.6762071,"Portland, OR",259,"Rock",287,"Lend Me a Blanket",0.995553322,0.18614593,0.413054236,0.955137448,0.111716276,0.040892505,61.316,0.252819344,"Argumentix","Tarantula Downpour 7""",0.27567193,0.162622,0.287989,0,0
"27",179,2009-01-06,0,226,"Dracula Safari",45.5234515,-122.6762071,"Portland, OR",90,"Rock",591,"Ready to Die",0.958873292,0.274608855,0.98948247,0.919362308,0.546515688,0.185316312,84.173,0.0332076,"Argumentix","Dracula Safari",0.27567193,0.162622,0.287989,5e-04,0.062497
"28",189,2009-01-07,0,894,"What I Know",40.7143528,-74.0059731,"New York, NY",283,"Folk",730,"The Thought Of It",0.993670209,0.622578036,0.216906878,0.972870004,0.110989349,0.029923503,92.124,0.039641258,"Ed Askew","What I Know",0.423999367,0.403155,0.444855,0,0
"29",190,2009-01-07,0,12333,"Blue Piano",40.7143528,-74.0059731,"New York, NY",249,"Folk",1758,"Castle Of Stars",0.99062949,0.500753457,0.371229743,0.102838444,0.218810194,0.032528811,100.919,0.251232305,"Ed Askew","Blue Piano",0.423999367,0.403155,0.444855,0,0
"30",191,2009-01-07,0,894,"What I Know",40.7143528,-74.0059731,"New York, NY",224,"Folk",1224,"Song About Michael",0.982463915,0.286557293,0.238347942,0.942936852,0.097493219,0.02990791,115.292,0.086136508,"Ed Askew","What I Know",0.423999367,0.403155,0.444855,0,0
"31",192,2009-01-07,0,894,"What I Know",40.7143528,-74.0059731,"New York, NY",40,"Folk",472,"Ed Talk WNYC",0.992865643,0.653847565,0.044151244,0.338404211,0.112740831,0.845311928,129.673,0.788160273,"Ed Askew","What I Know",0.423999367,0.403155,0.444855,0,0
"32",193,2009-01-07,0,12333,"Blue Piano",40.7143528,-74.0059731,"New York, NY",254,"Folk",1679,"Here With You",0.914038875,0.640601044,0.164071252,0.760562193,0.258399033,0.099210321,49.831,0.190789711,"Ed Askew","Blue Piano",0.423999367,0.403155,0.444855,0,0
"33",194,2009-01-07,0,12333,"Blue Piano",40.7143528,-74.0059731,"New York, NY",192,"Folk",1780,"All I want to Do",0.992905949,0.494730177,0.200337559,0.618086852,0.086449938,0.038937795,103.779,0.253244415,"Ed Askew","Blue Piano",0.423999367,0.403155,0.444855,0,0
"34",195,2009-01-07,0,894,"What I Know",40.7143528,-74.0059731,"New York, NY",339,"Folk",567,"I Remember You",0.989495551,0.493989456,0.184508387,0.968416643,0.116594587,0.04234154,50.168,0.267029516,"Ed Askew","What I Know",0.423999367,0.403155,0.444855,0,0
"35",196,2009-01-07,0,894,"What I Know",40.7143528,-74.0059731,"New York, NY",170,"Folk",524,"Bright Mr Brother",0.995459498,0.370060505,0.146733775,0.972813356,0.117827832,0.035720032,107.346,0.136060118,"Ed Askew","What I Know",0.423999367,0.403155,0.444855,0,0
"36",197,2009-01-07,0,12333,"Blue Piano",40.7143528,-74.0059731,"New York, NY",68,"Folk",2286,"Piano 2",0.983585184,0.602656565,0.007043697,0.791713442,0.080021913,0.421113443,128.698,0.770009457,"Ed Askew","Blue Piano",0.423999367,0.403155,0.444855,0,0
"37",198,2009-01-07,0,12333,"Blue Piano",40.7143528,-74.0059731,"New York, NY",269,"Folk",1784,"It Breaks My Heart",0.994758357,0.444476637,0.254202456,0.907322268,0.138199081,0.032691843,107.605,0.192034077,"Ed Askew","Blue Piano",0.423999367,0.403155,0.444855,0,0
"38",199,2009-01-07,0,894,"What I Know",40.7143528,-74.0059731,"New York, NY",263,"Folk",459,"Rimbaud",0.837046224,0.652686963,0.208152213,0.913980896,0.098106908,0.044584711,86.536,0.34776472,"Ed Askew","What I Know",0.423999367,0.403155,0.444855,0,0
